Scheme Strike Density
Hagan 1.0101 1.45e+00
LMG3 1.0101 1.38e+00
LMG2 1.0101 1.38e+00
RAN 1.0101 1.38e+00
RE 1.0101 1.38e+00
TRBDF2 1.0101 1.38e+00
CN 1.0101 -2.95e-01
Hagan 1.0201 1.45e+00
LMG3 1.0201 1.38e+00
LMG2 1.0201 1.38e+00
RAN 1.0201 1.38e+00
RE 1.0201 1.38e+00
TRBDF2 1.0201 1.38e+00
CN 1.0201 2.13e+00
Hagan 1.0302 1.44e+00
LMG3 1.0302 1.38e+00
LMG2 1.0302 1.38e+00
RAN 1.0302 1.38e+00
RE 1.0302 1.38e+00
TRBDF2 1.0302 1.38e+00
CN 1.0302 1.27e+00
Hagan 1.0402 1.43e+00
LMG3 1.0402 1.37e+00
LMG2 1.0402 1.37e+00
RAN 1.0402 1.37e+00
RE 1.0402 1.37e+00
TRBDF2 1.0402 1.37e+00
CN 1.0402 1.31e+00
Hagan 1.0503 1.42e+00
LMG3 1.0503 1.36e+00
LMG2 1.0503 1.36e+00
RAN 1.0503 1.36e+00
RE 1.0503 1.36e+00
TRBDF2 1.0503 1.36e+00
CN 1.0503 1.37e+00
Hagan 1.0603 1.40e+00
LMG3 1.0603 1.34e+00
LMG2 1.0603 1.34e+00
RAN 1.0603 1.34e+00
RE 1.0603 1.34e+00
TRBDF2 1.0603 1.34e+00
CN 1.0603 1.35e+00
Hagan 1.0704 1.39e+00
LMG3 1.0704 1.33e+00
LMG2 1.0704 1.33e+00
RAN 1.0704 1.33e+00
RE 1.0704 1.33e+00
TRBDF2 1.0704 1.33e+00
CN 1.0704 1.33e+00
Hagan 1.0804 1.36e+00
LMG3 1.0804 1.31e+00
LMG2 1.0804 1.31e+00
RAN 1.0804 1.31e+00
RE 1.0804 1.31e+00
TRBDF2 1.0804 1.31e+00
CN 1.0804 1.30e+00
Hagan 1.0905 1.34e+00
LMG3 1.0905 1.28e+00
LMG2 1.0905 1.28e+00
RAN 1.0905 1.28e+00
RE 1.0905 1.28e+00
TRBDF2 1.0905 1.28e+00
CN 1.0905 1.28e+00
Hagan 1.1005 1.31e+00
LMG3 1.1005 1.26e+00
LMG2 1.1005 1.26e+00
RAN 1.1005 1.26e+00
RE 1.1005 1.26e+00
TRBDF2 1.1005 1.26e+00
CN 1.1005 1.26e+00
Hagan 1.1106 1.28e+00
LMG3 1.1106 1.24e+00
LMG2 1.1106 1.24e+00
RAN 1.1106 1.24e+00
RE 1.1106 1.24e+00
TRBDF2 1.1106 1.24e+00
